Product Name ,Consistancy,Finish Type,Normal,Dry,Oily,Sensitive,Coverage Level,SPF 15+,Anti-Aging ,Acne- Fighting,HD,Long-Lasting,Cruelty-Free,Vegan
Anthony Green Cosmetics (Hi-Def Liquid Foundation),0,0,1,1,0,1,1,0,1,0,1,1,1,1
Anthony Green Cosmetics (Cream Foundation),1,1,1,1,0,1,2,0,0,0,0,0,1,1
Anthony Green Cosmetics (Dual Powder Foundation),2,1,0,0,1,1,1,0,0,0,0,1,1,1
Black Up Cosmetics (Matifying Fluid Foundation),0,0,0,0,1,1,1,0,0,0,0,1,1,1
Black Up Cosmetics (Two Way Cake),2,1,0,0,1,1,1,0,1,0,0,1,1,1
Black Up Cosmetics (Cream to Powder Foundation),1,1,0,0,1,1,0,0,0,0,0,1,1,1
Black Up Cosmetics (Full Coverage Cream Foundation),1,0,1,0,0,1,2,0,0,0,0,1,1,1
Sacha Cosmetics (Second Skin Liquid Foundation),0,0,1,1,0,1,0,0,0,0,0,1,1,1
Sacha Cosmetics (Cream to Powder Foundation),1,2,1,0,1,1,1,1,0,0,0,1,1,1
Sacha Cosmetics (Cream Foundation),1,2,1,1,0,1,1,0,0,0,0,0,1,1
Jay-Jill Cosmetics (Cream Foundation),1,1,0,1,0,1,2,0,0,0,0,1,1,1
Jay-Jill Cosmetics (Dual Powder Foundation),2,1,0,0,1,1,1,0,0,0,0,0,1,1
Jay-Jill Cosmetics (Flawless Finish Liquid Foundation),0,0,0,1,0,1,3,0,1,0,0,0,1,1
Jay-Jill Cosmetics (Mousse Foundation),3,0,0,0,1,1,1,0,0,0,0,0,1,1
Pink Stiletto Cosmetics (LiquiDream Organic Foundation),1,1,0,0,1,1,1,0,0,1,0,0,1,1
Komplexx Blends Cosmetics (Perfect Finish Liquid Foundation),0,0,1,1,1,1,1,1,1,0,0,1,1,1
Dalynn Cosmetics (Liquid Foundation Flawless Finish),0,0,0,1,0,1,3,0,1,0,0,0,1,1
Dalynn Cosmetics (Cream Foundation),1,1,0,0,1,1,2,0,0,0,0,0,1,1
Dalynn Cosmetics (Dual Powder Foundation),2,0,0,0,1,1,1,0,0,0,0,0,1,1
Dalynn Cosmetics (Hi-Def Foundation),0,0,1,0,0,1,1,0,1,0,1,1,1,1
SHEEQ Cosmetics (Flawless Liquid Foundation),0,0,1,0,0,1,4,0,1,0,0,0,1,1
SHEEQ Cosmetics (Dual Powder Foundation),2,0,0,0,1,1,4,0,1,0,0,0,1,1
Vera Moore Cosmetics (Liquid Foundation Flawless Finish),0,3,1,0,0,1,4,0,0,0,0,1,1,1
Vera Moore Cosmetics (Cream Foundation),1,2,1,1,0,1,4,0,0,0,0,0,1,1
Laws of Nature Cosmetics (Foxy Finish Mineral Liquid Foundation),0,0,0,1,0,1,4,0,0,1,0,0,1,1
Laws of Nature Cosmetics (Foxy Finish Mineral Foundation),2,0,1,1,1,1,5,0,0,0,0,0,1,1
Black Opal (True Color Stick Foundation),1,0,1,0,1,1,2,1,0,0,0,1,1,1
Black Opal (Even True Flawless Skin Liquid Makeup),0,0,0,1,0,1,1,0,0,0,0,1,1,1
Black Opal (True Color Cream to Powder),1,0,1,0,0,1,5,1,0,0,0,1,1,1
Black Opal (Perfecting Powder Makeup),2,1,0,0,1,1,5,0,0,0,0,0,1,1
Black Opal (Total Coverage Concealing Foundations),1,0,1,0,0,1,2,0,0,0,0,0,1,1
Black Opal (True Color Pore Correcting Liquid Foundation),0,3,1,1,1,1,3,0,0,0,1,0,1,1
Blac Minerals Cosmetics (Mineral Foundation),2,3,1,0,0,1,0,0,0,0,0,0,1,1
